  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 9230                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5284   0.02227   0.01391  -0.0651   0.2480   0.0581
   1.000   0.6004   0.02438   0.01604  -0.0621   0.2432   0.0619
   2.000   0.6794   0.02644   0.01815  -0.0606   0.2414   0.0667
   3.000   0.7535   0.02908   0.02085  -0.0591   0.2394   0.0724
   4.000   0.8222   0.03236   0.02419  -0.0577   0.2374   0.0794
   5.000   0.8851   0.03628   0.02817  -0.0564   0.2352   0.0881
   6.000   0.9430   0.04073   0.03271  -0.0551   0.2333   0.0995
   7.000   0.9998   0.04531   0.03738  -0.0541   0.2316   0.1155
   8.000   1.0641   0.04963   0.04189  -0.0543   0.2310   0.1531
  10.000   1.1879   0.05754   0.05209  -0.0554   0.2295   1.0000
  11.000   1.2453   0.06262   0.05719  -0.0562   0.2283   1.0000
  12.000   1.2989   0.06804   0.06265  -0.0571   0.2271   1.0000
  13.000   1.3512   0.07357   0.06823  -0.0583   0.2260   1.0000
  14.000   1.4043   0.07889   0.07359  -0.0598   0.2249   1.0000
  15.000   1.4546   0.08445   0.07920  -0.0616   0.2238   1.0000
  16.000   1.5071   0.08954   0.08435  -0.0636   0.2226   1.0000
  17.000   1.5546   0.09452   0.08942  -0.0652   0.2205   1.0000
  18.000   1.5762   0.10314   0.09826  -0.0675   0.2199   1.0000
  19.000   1.5801   0.11375   0.10912  -0.0701   0.2188   1.0000
  20.000   1.5166   0.13263   0.12845  -0.0730   0.2162   1.0000
